isoAlpha3,latitude,longitude
AND,42.549486,1.565842
ARE,25.020213,54.981409
AFG,33.471209,65.571937
ATG,17.067326,-61.882997
AIA,18.227156,-63.039909
ALB,41.044667,20.045658
ARM,40.128375,45.217891
AGO,-11.037595,17.661375
ATA,-72.459863,-11.140184
ARG,-35.601774,-66.49349
ASM,-14.289858,-170.712168
AUT,47.60306,13.461103
AUS,-24.599416,133.500693
ABW,12.506928,-69.97401
ALA,60.238109,20.365532
AZE,40.136582,47.006964
BIH,44.155385,17.907097
BRB,13.17338,-59.54943
BGD,23.502346,90.451329
BEL,50.568724,4.810686
BFA,11.662678,-2.306891
BGR,42.62177,25.079972
BHR,25.91076,50.660716
BDI,-3.147446,29.96573
BEN,9.747318,2.384507
BLM,17.896378,-62.83517
BMU,32.303591,-64.759337
BRN,4.525177,114.867902
BOL,-15.540959,-65.152523
BES,12.164177,-68.251318
BRA,-9.73,-52.05
BHS,24.371414,-76.598266
BTN,27.471754,90.462822
BVT,-54.427858,3.416696
BWA,-22.975163,24.687889
BLR,53.454644,28.343976
BLZ,17.264814,-88.321276
CAN,59.209918,-101.94573
CCK,-12.173615,96.869083
COD,-3.878197,23.557852
CAF,6.380845,21.104015
COG,0.032966,15.720801
CHE,46.718074,8.406399
CIV,7.561217,-5.7679
COK,-16.522756,-159.66415
CHL,-33.472423,-70.769915
CMR,6.793971,12.989538
CHN,34.986206,102.838896
COL,4.118648,-73.421321
CRI,9.702284,-84.217751
CUB,21.860898,-79.530738
CPV,15.983792,-23.951724
CUW,12.214757,-68.993385
CXR,-10.494757,105.655721
CYP,35.036293,33.422368
CZE,49.883204,15.049059
DEU,51.493616,10.631046
DJI,11.761509,42.644279
DNK,55.794859,10.37716
DMA,15.420674,-61.374016
DOM,18.82622,-70.567424
DZA,30.395012,2.3345
ECU,-1.706613,-78.401584
EST,58.562741,24.402439
EGY,28.915098,31.902439
ESH,23.006535,-14.501158
ERI,14.947619,39.808267
ESP,39.293953,-5.091326
ETH,9.052991,38.154576
FIN,62.695179,26.13955
FJI,-17.466314,119.996749
FLK,-51.762371,-59.679791
FSM,6.767336,152.075427
FRO,62.068631,-6.818321
FRA,46.243896,2.412089
GAB,-0.815758,11.805025
GBR,52.467369,-1.497321
GRD,12.110181,-61.688759
GEO,42.228941,43.707196
GUF,3.501478,-53.404736
GGY,49.499047,-2.442219
GHA,8.398439,-1.019127
GIB,36.134323,-5.348223
GRL,70.05141,-41.84338
GMB,13.430912,-15.480747
GIN,10.197271,-10.896582
GLP,16.165856,-61.473908
GNQ,1.571672,10.471059
GRC,38.253384,23.965321
SGS,-55.0496,-34.922339
GTM,15.580901,-90.080279
GUM,13.425533,144.748774
GNB,11.663845,-15.413215
GUY,4.374742,-58.928342
HKG,22.342113,114.158427
HMD,-53.055116,73.468919
HND,14.751182,-85.835526
HRV,45.82758,16.314097
HTI,18.923258,-72.787987
HUN,47.216688,19.312548
IDN,-2.669966,119.105896
IRL,53.340023,-8.637892
ISR,31.64236,35.14034
IMN,54.189634,-4.569062
