isoAlpha3,latitude,longitude
USA,39.7299769,-101.170936
CAN,59.2099181,-101.9457304
IND,23.0627308,78.9890574
AUS,-24.5994163,133.5006928
BRA,-9.73,-52.05
ARG,-35.6017744,-66.4934901
CHL,-33.4724228,-70.7699146
CHN,34.9862056,102.8388956
NZL,-42.5172773,171.9367027
NOR,61.046,8.63
PRT,39.9086331,-7.928998
HRV,45.8275797,16.314097
GBR,52.4673692,-1.497321
ISL,64.7696583,-18.547678
FIN,62.6951794,26.13955
ITA,42.4796129,12.853627
AFG,33.471209, 65.571937
THA,16.1567651,101.0938149
VNM,13.0089842,108.4614089
ECU,-1.7066126,-78.4015841
COG,0.0329664,15.7208009
GNQ,1.5716724,10.4710589
PNG,-6.1503207,143.6455049
SMR,43.9399058,12.460432
SHN,-15.9731458,-5.7111531
SPM,46.982719,-56.328060
MDV,1.9146794,73.3482829
ABW,12.5069282,-69.9740101
AIA,18.2271561,-63.0399091
ASM,-14.2898578,-170.712168
ATG,17.0673261,-61.8829971
BES,12.1641772,-68.251318
BLM,17.8963781,-62.83517
GRD,12.1101812,-61.688759
GUM,13.4255332,144.748774
IOT,-7.2244565,72.2303268
JEY,49.2161305,-2.135251
KNA,17.2520841,-62.65579
MCO,43.7384529,7.422101
MHL,7.3952193,168.736163
MLT,35.9223583,14.378269
MNP,15.0625002,145.631166
MSR,16.7390711,-62.194413
NFK,-29.0330333,167.953551
NIU,-19.0527649,-169.859997
NRU,-0.5272016,166.931766
PCN,-24.3757761,-128.324717
PLW,7.5056113,134.571553
SYC,-4.6697046,55.464079
TKL,-9.1711827,-171.820766
TON,-21.159555,-175.206461
TUV,-8.5211697,179.114855
UMI,
VAT,41.9038243,12.4476731
VCT,13.2614372,-61.190859
VGB,18.4340941,-64.626885
VIR,17.7401921,-64.78241
WLF,-14.2813898,-178.139641
